Task ID,Supplier ID,Cost
14/06/2021,S56,0.36865303
14/06/2021,S11,0.374592461
14/06/2021,S48,0.37598364
14/06/2021,S14,0.376076776
14/06/2021,S37,0.37761767
14/06/2021,S24,0.377862184
14/06/2021,S29,0.378536992
14/06/2021,S34,0.380220889
14/06/2021,S64,0.384125356
14/06/2021,S16,0.385935777
14/06/2021,S9,0.38683282
14/06/2021,S61,0.387872177
14/06/2021,S27,0.387935596
14/06/2021,S4,0.389480268
14/06/2021,S12,0.389930087
14/06/2021,S57,0.390297541
17/06/2021,S51,0.369979879
17/06/2021,S27,0.376563435
17/06/2021,S4,0.378420344
17/06/2021,S50,0.378424478
17/06/2021,S33,0.378831399
17/06/2021,S48,0.378926086
17/06/2021,S56,0.379152859
17/06/2021,S47,0.383759393
17/06/2021,S34,0.385971881
17/06/2021,S15,0.386423207
17/06/2021,S11,0.387110742
17/06/2021,S23,0.387551211
17/06/2021,S17,0.388447502
17/06/2021,S5,0.38848357
17/06/2021,S52,0.3888125
17/06/2021,S32,0.389698604
17/06/2021,S54,0.389959168
17/06/2021,S64,0.391090107
17/06/2021,S9,0.391593082
17/06/2021,S37,0.391650776
21/06/2021,S48,0.389989813
21/06/2021,S27,0.390023775
21/06/2021,S33,0.390924601
21/06/2021,S47,0.393240538
21/06/2021,S29,0.395950166
21/06/2021,S30,0.406038715
21/06/2021,S52,0.407104303
21/06/2021,S57,0.40744634
21/06/2021,S6,0.408471111
21/06/2021,S55,0.40965872
21/06/2021,S54,0.411404389
21/06/2021,S28,0.411952839
21/06/2021,S56,0.414790315
21/06/2021,S32,0.414944304
21/06/2021,S50,0.416235574
21/06/2021,S24,0.416473164
21/06/2021,S34,0.417335029
21/06/2021,S15,0.417843205
21/06/2021,S37,0.41886786
21/06/2021,S46,0.421423052
24/06/2021,S34,0.382803354
24/06/2021,S29,0.393561668
24/06/2021,S51,0.394510791
24/06/2021,S4,0.396975306
24/06/2021,S10,0.397556368
24/06/2021,S33,0.400818927
24/06/2021,S3,0.403398963
24/06/2021,S1,0.403832552
24/06/2021,S27,0.405403949
24/06/2021,S56,0.408089237
24/06/2021,S23,0.408103813
24/06/2021,S14,0.409211528
24/06/2021,S9,0.409422797
24/06/2021,S24,0.409489784
24/06/2021,S64,0.409656232
24/06/2021,S28,0.410021431
24/06/2021,S15,0.410569322
24/06/2021,S55,0.411618474
24/06/2021,S52,0.413388412
24/06/2021,S48,0.414114864
30/06/2021,S64,0.390733063
30/06/2021,S8,0.394682431
30/06/2021,S57,0.398005289
30/06/2021,S18,0.39831122
30/06/2021,S33,0.401727767
30/06/2021,S21,0.40231959
30/06/2021,S27,0.402711735
30/06/2021,S10,0.40622193
30/06/2021,S48,0.407007892
30/06/2021,S34,0.407364958
30/06/2021,S23,0.407475086
30/06/2021,S58,0.408513503
30/06/2021,S29,0.40959185
30/06/2021,S53,0.411848632
30/06/2021,S24,0.412546611
30/06/2021,S59,0.413019496
30/06/2021,S56,0.414521072
30/06/2021,S62,0.414694838
30/06/2021,S15,0.414766762
30/06/2021,S11,0.415051338
15/07/2021,S26,0.343757326
15/07/2021,S50,0.348625885
15/07/2021,S64,0.3509993
15/07/2021,S19,0.352178966
15/07/2021,S48,0.353298434
15/07/2021,S11,0.354192212
15/07/2021,S56,0.355034854
15/07/2021,S10,0.356455956
15/07/2021,S4,0.356544326
15/07/2021,S14,0.357678334
15/07/2021,S35,0.35834237
15/07/2021,S52,0.359910383
15/07/2021,S46,0.360256784
15/07/2021,S33,0.362176016
15/07/2021,S49,0.362349337
15/07/2021,S39,0.362399491
15/07/2021,S53,0.362449361
15/07/2021,S54,0.364690436
15/07/2021,S57,0.365591884
15/07/2021,S15,0.365927042
19/07/2021,S50,0.335407095
19/07/2021,S56,0.343042024
19/07/2021,S15,0.345241145
19/07/2021,S37,0.347179395
19/07/2021,S28,0.347596033
19/07/2021,S55,0.348680989
19/07/2021,S64,0.349171453
19/07/2021,S52,0.35018359
19/07/2021,S13,0.350534457
19/07/2021,S49,0.351183585
19/07/2021,S34,0.351617009
19/07/2021,S18,0.352555879
19/07/2021,S29,0.35342376
19/07/2021,S33,0.354218798
19/07/2021,S11,0.354551761
19/07/2021,S48,0.358886164
19/07/2021,S27,0.359573922
19/07/2021,S54,0.361430162
19/07/2021,S19,0.361763932
19/07/2021,S57,0.362495829
22/07/2021,S48,0.342824981
22/07/2021,S60,0.348631972
22/07/2021,S53,0.353315774
22/07/2021,S52,0.355311848
22/07/2021,S9,0.356394324
22/07/2021,S64,0.357917997
22/07/2021,S29,0.35849179
22/07/2021,S10,0.359461346
22/07/2021,S11,0.359514028
22/07/2021,S58,0.36084415
